uid,title,abstract,year,venue,authors,doi,arxiv_id,url,source,query,query_role,family,advisor_seed,citation_count,matched_terms,retrieved_at,relevance_score,hostile_score
arxiv:2602.23545v2,Planning under Distribution Shifts with Causal POMDPs,"In the real world, planning is often challenged by distribution shifts. As such, a model of the environment obtained under one set of conditions may no longer remain valid as the distribution of states or the environment dynamics change, which in turn causes previously learned strategies to fail. In this work, we propose a theoretical framework for planning under partial observability using Partially Observable Markov Decision Processes (POMDPs) formulated using causal knowledge. By representing shifts in the environment as interventions on this causal POMDP, the framework enables evaluating plans under hypothesized changes and actively identifying which components of the environment have been altered. We show how to maintain and update a belief over both the latent state and the underlying domain, and we prove that the value function remains piecewise linear and convex (PWLC) in this au",2026,arXiv,Matteo Ceriscioli; Karthika Mohan,,2602.23545v2,http://arxiv.org/abs/2602.23545v2,arxiv,robot world model failure planning,hostile,failure,,,robot world model; partial observability; distribution shift; robot world model failure,2026-06-12T14:45:03Z,16.850,22.850
doi:10.3390/s26103140,Uncertainty-Calibrated Safety Gating for Vision–Language– Action Manipulation Under Domain Shift: Reliability Gains and Intervention–Efficiency Trade-Offs,"Vision–Language–Action (VLA) policies promise flexible long-horizon manipulation, but deployment under domain shift requires both reliable uncertainty estimates and a workable runtime-assurance policy. We study a model-agnostic uncertainty-calibrated safety-gating wrapper that estimates online failure risk and routes control among policy execution, pause-and-reobserve, and a fallback planner. Using a cleaned and consistently aggregated benchmark pipeline, we evaluate two long-horizon manipulation tasks in NVIDIA Isaac Sim 5.0 under lighting, texture, occlusion, sensor, and combined shifts. Relative to an ungated VLA baseline, calibrated gating improves mean shifted success from 57.5% to 77.2% and reduces aggregate expected calibration error from 0.303 to 0.100. The largest success gains occur under occlusion and combined shift, including improvements from 48.3% to 85.2% on the drawer tas",2026,Sensors,Atef M. Ghaleb; Ali S. Allahloh; Sobhi Mejjaouli; Mohammed A. H. Ali; Adel Al-Shayea,10.3390/s26103140,,https://doi.org/10.3390/s26103140,crossref,vision language action model limitation robotics,hostile,failure,,,vision language action model; limitation; benchmark; robustness; occlusion; distribution shift; deployment; long horizon,2026-06-12T15:07:36Z,12.300,21.300
title:lost in translation skills policy and the shift to skill ecosystems,Lost in translation? Skills policy and the shift to skill ecosystems,This chapter strarts by outlining the shift in thinking from skill equilibria to skill ecosystems and indicate how the concept has been lost in its translation into policy initiatives. We then re-present the concept so that understanding of it and its relevance to the new economic thinking is clearer. The final section of the chapter uses skills to raise some broader issues about the implementation of the new economic thinking into policy.,2012,Strathprints: The University of Strathclyde institutional repository (University of Strathclyde),Pauline Anderson; Chris Warhurst,,,https://openalex.org/W161294835,openalex,energy based policy robotics,concept,ebm,,11,,2026-06-12T18:43:24Z,21.292,21.292
doi:10.1186/s12984-019-0587-8,Learning and transfer of complex motor skills in virtual reality: a perspective review,"The development of more effective rehabilitative interventions requires a better understanding of how humans learn and transfer motor skills in real-world contexts. Presently, clinicians design interventions to promote skill learning by relying on evidence from experimental paradigms involving simple tasks, such as reaching for a target. While these tasks facilitate stringent hypothesis testing in laboratory settings, the results may not shed light on performance of more complex real-world skills. In this perspective, we argue that virtual environments (VEs) are flexible, novel platforms to evaluate learning and transfer of complex skills without sacrificing experimental control. Specifically, VEs use models of real-life tasks that afford controlled experimental manipulations to measure and guide behavior with a precision that exceeds the capabilities of physical environments. This paper",2019,Journal of NeuroEngineering and Rehabilitation,Danielle Levac; Meghan E. Huber; Dagmar Sternad,10.1186/s12984-019-0587-8,,https://doi.org/10.1186/s12984-019-0587-8,openalex,energy based model robot learning,concept,ebm,,272,skill learning,2026-06-12T18:05:07Z,20.005,21.005
doi:10.1177/2399654419864605,"Transformative top-down planning in a small African city: How residents in Bagamoyo, Tanzania connect with a city in motion","The New Urban Agenda commits UN member states to the implementation of national urban plans, and this recentralization of urban governance reverses nearly three decades of political decentralization and devolution. The recentralization of urban governance is evident in Tanzania, where the most recent industrial development strategy articulates a spatial plan aimed at integrating the country with regional and global markets. The lynchpin of this spatial plan is Bagamoyo, a small city located approximately 60 km north of Dar es Salaam. It is situated at the confluence of two development corridors, and as a result it was designated the most appropriate location for a greenfield port and an export processing zone. In the context of Bagamoyo’s top-down transformation, authorities situated at the city and district levels struggle to expand services and infrastructure to accommodate a growing p",2021,Environment and Planning C: Politics and Space,Seth Schindler; Nancy Duong Nguyen; Desdery Gerase Barongo,10.1177/2399654419864605,,https://doi.org/10.1177/2399654419864605,crossref,sampling based motion planning,anti_myopia,anti_thesis,,6,motion planning; sampling based motion planning,2026-06-12T15:07:36Z,16.723,20.723
doi:10.1007/s10015-024-00979-y,Evaluating how psychological senses and physical motions are affected by avatar shapes in a non-immersive environment,,2025,Artificial Life and Robotics,Yuki Kida; Tetsuro Ogi,10.1007/s10015-024-00979-y,,https://doi.org/10.1007/s10015-024-00979-y,crossref,robotics,concept,crossref_bulk_robotics,,,,2026-06-12T19:29:26Z,20.600,20.600
doi:10.15607/rss.2023.xix.006,Robotic Table Tennis: A Case Study into a High Speed Learning System,"We present a deep-dive into a real-world robotic learning system that, in previous work, was shown to be capable of hundreds of table tennis rallies with a human and has the ability to precisely return the ball to desired targets. This system puts together a highly optimized perception subsystem, a high-speed low-latency robot controller, a simulation paradigm that can prevent damage in the real world and also train policies for zero-shot transfer, and automated real world environment resets that enable autonomous training and evaluation on physical robots. We complement a complete system description, including numerous design decisions that are typically not widely disseminated, with a collection of studies that clarify the importance of mitigating various sources of latency, accounting for training and deployment distribution shifts, robustness of the perception system, sensitivity to ",2023,arXiv,David B. D'Ambrosio; Jonathan Abelian; Saminda Abeyruwan; Michael Ahn; Alex Bewley; Justin Boyd; Krzysztof Choromanski; Omar Cortes; Erwin Coumans; Tianli Ding; Wenbo Gao; Laura Graesser; Atil Iscen; Navdeep Jaitly; Deepali Jain; Juhana Kangaspunta; Satoshi Kataoka; Gus Kouretas; Yuheng Kuang; Nevena Lazic,10.15607/rss.2023.xix.006,2309.03315v2,http://arxiv.org/abs/2309.03315v2,arxiv,hybrid dynamical systems robotics,anti_myopia,anti_thesis,,,robustness; distribution shift; deployment; latency; hybrid dynamical systems robotics,2026-06-12T15:07:36Z,13.050,20.050
doi:10.1186/s12984-017-0247-9,Physical interface dynamics alter how robotic exosuits augment human movement: implications for optimizing wearable assistive devices,"BACKGROUND: Wearable assistive devices have demonstrated the potential to improve mobility outcomes for individuals with disabilities, and to augment healthy human performance; however, these benefits depend on how effectively power is transmitted from the device to the human user. Quantifying and understanding this power transmission is challenging due to complex human-device interface dynamics that occur as biological tissues and physical interface materials deform and displace under load, absorbing and returning power. METHODS: Here we introduce a new methodology for quickly estimating interface power dynamics during movement tasks using common motion capture and force measurements, and then apply this method to quantify how a soft robotic ankle exosuit interacts with and transfers power to the human body during walking. We partition exosuit end-effector power (i.e., power output from",2017,Journal of NeuroEngineering and Rehabilitation,Matthew B. Yandell; Brendan Quinlivan; Dmitry Popov; Conor J. Walsh; Karl E. Zelik,10.1186/s12984-017-0247-9,,https://doi.org/10.1186/s12984-017-0247-9,openalex,energy based policy robotics,concept,ebm,,152,,2026-06-12T18:05:07Z,19.965,19.965
doi:10.1080/01691864.2025.2487608,Situation classification of living environment by daily life support robot using pre-trained large-scale vision-language model,,2025,Advanced Robotics,Yoshiki Obinata; Kento Kawaharazuka; Naoaki Kanazawa; Naoya Yamaguchi; Naoto Tsukamoto; Iori Yanokura; Shingo Kitagawa; Kei Okada; Masayuki Inaba,10.1080/01691864.2025.2487608,,https://doi.org/10.1080/01691864.2025.2487608,crossref,vision language action model limitation robotics,hostile,failure,,1,vision language action model; limitation,2026-06-12T14:45:03Z,14.947,19.947
doi:10.1111/cgf.13606,Skiing Simulation Based on Skill‐Guided Motion Planning,"Abstract Skiing is a popular recreational sport, and competitive skiing has been events at the Winter Olympic Games. Due to its wide moving range in the outdoor environment, motion capture of skiing is hard and usually not a good solution for generating skiing animations. Physical simulation offers a more viable alternative. However, skiing simulation is challenging as skiing involves many complicated motor skills and physics, such as balance keeping, movement coordination, articulated body dynamics and ski‐snow reaction. In particular, as no reference motions — usually from MOCAP data — are readily available for guiding the high‐level motor control, we need to synthesize plausible reference motions additionally. To solve this problem, sports techniques are exploited for reference motion planning. We propose a physics‐based framework that employs kinetic analyses of skiing techniques and",2019,Computer Graphics Forum,Chen‐Hui Hu; Chien‐Ying Lee; Yen‐Ting Liou; Feng‐Yu Sung; Wen‐Chieh Lin,10.1111/cgf.13606,,https://doi.org/10.1111/cgf.13606,crossref,sampling based motion planning,anti_myopia,anti_thesis,,5,motion planning; sampling based motion planning,2026-06-12T15:07:36Z,15.946,19.946
doi:10.18196/jrc.v4i2.17165,Development of a Virtual Environment-Based Electrooculogram Control System for Safe Electric Wheelchair Mobility for Individuals with Severe Physical Disabilities,"Conventional wheelchairs are predominantly manual or joystick-operated electric wheelchairs. However, operating these wheelchairs can be difficult or impossible for individuals with severe physical disabilities. Due to losing control of their physical limbs, they depend on an attendant for assistance. As a remedy, bio-signals may be used as a control mechanism since they are readily available and can be acquired from any body part. This research proposes to use EOG signals to vail a control mechanism and test it in a virtual and actual electric wheelchair. The main contribution of the study is an investigation of the use of EOG to control an electric wheelchair in a virtual environment to determine safe control parameters for wheelchair use in complex environments. A customized data acquisition circuit was developed to acquire single-channel EOG signals using wet electrodes. The acquired",2023,Journal of Robotics and Control (JRC),Jane Phoebe Achieng Ogenga; Paul Waweru Njeri; Joseph Kamau Muguro,10.18196/jrc.v4i2.17165,,https://doi.org/10.18196/jrc.v4i2.17165,crossref,classical control robotics,anti_myopia,anti_thesis,,8,classical control robotics,2026-06-12T15:07:36Z,15.599,19.599
doi:10.1016/j.promfg.2017.07.209,Integration of a Skill-based Collaborative Mobile Robot in a Smart Cyber-physical Environment,"The goal of this paper is to investigate the benefits of integrating collaborative robotic manipulators with autonomous mobile platforms for flexible part feeding processes in an Industry 4.0 production facility. The paper presents Little Helper 6 (LH6), consisting of a MiR100, UR5, a Robotiq 3-Finger Gripper and a task level software framework, called Skill Based System (SBS). The preliminary experiments performed with LH6, demonstrate that the capabilities of skill-based programming, 3D QR based calibration, part feeding, mapping and dynamic collision avoidance are successfully executed and strategies for further expansion of the operational capabilities of the system are discussed.",2017,Procedia Manufacturing,Rasmus Eckholdt Andersen; Emil Blixt Hansen; David Černý; Steffen Madsen; Biranavan Pulendralingam; Simon Bøgh; Dimitrios Chrysostomou,10.1016/j.promfg.2017.07.209,,https://doi.org/10.1016/j.promfg.2017.07.209,openalex,robotics,concept,openalex_bulk_robotics,,45,,2026-06-12T18:57:17Z,19.314,19.314
doi:10.5772/acrt.23,"How Hands-On Assessments Can Boost Retention, Satisfaction, Skill Development, and Career Outcomes in Online Courses","Hands-on assessments provide active opportunities for students to practice new skills they have just learned. Massive open online course (MOOC) platforms offer a uniquely large dataset to track the impact of hands-on assessments on learners’ skill development, satisfaction, and career trajectory. While existing MOOC literature explore enrollment and demographic data, few have investigated the outcomes for learners who engage with different types of assessments within these online courses. This article is important because it quantifies the learner impact of hands-on experiences in MOOCs. With innovative analytics and hundreds of millions of course enrollments, online course platforms can shed light on the influence of alternative teaching decisions and assessment types. MOOCs offer data to quantify individual learners’ skill development in different topics before averaging across all cou",2023,"AI, Computer Science and Robotics Technology",Alexandra Urban,10.5772/acrt.23,,https://doi.org/10.5772/acrt.23,crossref,robotics,concept,crossref_bulk_robotics,,6,,2026-06-12T19:29:26Z,19.223,19.223
doi:10.1177/02783649211004615,Learning compositional models of robot skills for task and motion planning,"The objective of this work is to augment the basic abilities of a robot by learning to use sensorimotor primitives to solve complex long-horizon manipulation problems. This requires flexible generative planning that can combine primitive abilities in novel combinations and, thus, generalize across a wide variety of problems. In order to plan with primitive actions, we must have models of the actions: under what circumstances will executing this primitive successfully achieve some particular effect in the world? We use, and develop novel improvements to, state-of-the-art methods for active learning and sampling. We use Gaussian process methods for learning the constraints on skill effectiveness from small numbers of expensive-to-collect training examples. In addition, we develop efficient adaptive sampling methods for generating a comprehensive and diverse sequence of continuous candidate",2021,The International Journal of Robotics Research,Zi Wang; Caelan Reed Garrett; Leslie Pack Kaelbling; Tomás Lozano-Pérez,10.1177/02783649211004615,,https://doi.org/10.1177/02783649211004615,crossref,task and motion planning robotics,anti_myopia,classic,,62,motion planning; task and motion planning; long horizon,2026-06-12T15:07:36Z,15.172,19.172
doi:10.1007/s10514-015-9435-2,Adaptation of manipulation skills in physical contact with the environment to reference force profiles,,2015,Autonomous Robots,Fares J. Abu-Dakka; Bojan Nemec; Jimmy A. Jørgensen; Thiusius R. Savarimuthu; Norbert Krüger; Aleš Ude,10.1007/s10514-015-9435-2,,https://doi.org/10.1007/s10514-015-9435-2,crossref,robot world models manipulation,concept,world_models,,134,robot world model,2026-06-12T15:07:36Z,19.053,19.053
doi:10.1177/0885412210386229,Statistical Approaches to Testing the Relationships of the Built Environment with Resident-Level Physical Activity Behavior and Health Outcomes in Cross-Sectional Studies with Cluster Sampling,"To achieve valid conclusions, studies exploring associations of the built environment with residents' physical activity and health-related outcomes need to employ statistical approaches accounting for clustered data. This article discusses the following main statistical approaches: analysis of covariance, regression models with robust standard errors, generalized estimating equations, and multilevel generalized linear models. The choice of a statistical method depends on the characteristics of the study and research questions. While the first three approaches are employed to account for clustering in the data, multilevel models can also help unravel more substantive issues within a social ecological theoretical framework of health behavior.",2011,Journal of Planning Literature,Ester Cerin,10.1177/0885412210386229,,https://doi.org/10.1177/0885412210386229,crossref,sampling based motion planning,anti_myopia,anti_thesis,,52,motion planning; sampling based motion planning,2026-06-12T15:07:36Z,14.885,18.885
doi:10.1146/annurev-control-080320-011601,What Is Robotics? Why Do We Need It and How Can We Get It?,"Robotics is an emerging synthetic science concerned with programming work. Robot technologies are quickly advancing beyond the insights of the existing science. More secure intellectual foundations will be required to achieve better, more reliable, and safer capabilities as their penetration into society deepens. Presently missing foundations include the identification of fundamental physical limits, the development of new dynamical systems theory, and the invention of physically grounded programming languages. The new discipline needs a departmental home in the universities, which it can justify both intellectually and by its capacity to attract new diverse populations inspired by the age-old human fascination with robots.",2021,"Annual Review of Control, Robotics, and Autonomous Systems",Daniel E. Koditschek,10.1146/annurev-control-080320-011601,,https://doi.org/10.1146/annurev-control-080320-011601,crossref,classical control robotics,anti_myopia,anti_thesis,,34,classical control robotics,2026-06-12T15:07:36Z,14.878,18.878
arxiv:2605.08567v2,ACWM-Phys: Investigating Generalized Physical Interaction in Action-Conditioned Video World Models,"Action-conditioned world models (ACWMs) have shown strong promise for video prediction and decision-making. However, existing benchmarks are largely restricted to egocentric navigation or narrow, task-specific robotics datasets, offering only limited coverage of the rich physical interactions required for generalized world understanding. We introduce ACWM-Phys, a new benchmark for evaluating action-conditioned prediction under diverse physical dynamics in a clean, controllable simulation environment with a carefully designed action space. ACWM-Phys contains training and evaluation data spanning rigid-body dynamics, kinematics, deformable-object interactions, and particle dynamics. To evaluate both interpolation and generalization, we design in-distribution and out-of-distribution protocols with controlled shifts in interaction patterns or scene configurations. By building the benchmark i",2026,arXiv,Haotian Xue; Yipu Chen; Liqian Ma; Zelin Zhao; Lama Moukheiber; Yuchen Zhu; Yongxin Chen,,2605.08567v2,http://arxiv.org/abs/2605.08567v2,arxiv,world action model,concept,architecture,,,world action model; benchmark; generalization; out of distribution; ablation,2026-06-12T15:07:36Z,13.850,18.850
arxiv:2512.01946v3,Scaling Cross-Environment Failure Reasoning Data for Vision-Language Robotic Manipulation,"Robust robotic manipulation requires reliable failure detection and recovery. Although recent Vision-Language Models (VLMs) show promise in robot failure detection, their generalization is severely limited by the scarcity and narrow coverage of failure data. To address this bottleneck, we propose an automatic framework for generating diverse robotic planning and execution failures across both simulated and real-world environments. Our approach perturbs successful manipulation trajectories to synthesize failures that reflect realistic failure distributions, and leverages VLMs to produce structured step-by-step reasoning traces. This yields FailCoT, a large-scale failure reasoning dataset built upon the RLBench simulator and the BridgeDataV2 real-robot dataset. Using FailCoT, we train Guardian, a multi-view reasoning VLM for unified planning and execution verification. Guardian achieves st",2025,arXiv,Paul Pacaud; Ricardo Garcia; Shizhe Chen; Cordelia Schmid,,2512.01946v3,http://arxiv.org/abs/2512.01946v3,arxiv,robot world model failure planning,hostile,failure,,,robot world model; failure detection; benchmark; generalization; deployment; robot world model failure,2026-06-12T14:45:03Z,9.800,18.800
doi:10.36227/techrxiv.176106902.20394622/v1,Exploring the Future of Robotics through Physics Informed Vision Based Foundations,"The integration of physics-grounded vision foundation models into robotics marks a transformative shift in the way machines perceive, reason about, and interact with the physical world. Traditional robotic perception pipelines have largely been limited to visual recognition tasks—such as object classification, segmentation, or detection—without an intrinsic understanding of the underlying physical dynamics that govern real-world interactions. This lack of physical reasoning often restricts robots to brittle, domain-specific solutions that fail under unstructured conditions. In contrast, physics-grounded vision foundation models extend beyond static perception to incorporate physical priors, causal reasoning, and dynamic prediction, thereby enabling robots not only to see but also to understand how objects and environments behave under forces, constraints, and interactions. By embedding p",,,Mariana Oliveira; Felipe Santos; Camila Ferreira; André Almeida; Gulnaz Rati,10.36227/techrxiv.176106902.20394622/v1,,https://doi.org/10.36227/techrxiv.176106902.20394622/v1,crossref,vision language action model limitation robotics,hostile,failure,,,vision language action model; embodied agent; domain randomization; limitation; benchmark; deployment,2026-06-12T15:07:36Z,9.650,18.650
