stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6705,0.0135
0.0,conformal_risk_filter,0.7048,0.0128
0.0,proposed_branch_mechanism,0.7567,0.0162
0.0,oracle_branch_upper_bound,0.8167,0.0155
0.2,scalar_uncertainty_planner,0.6179,0.0177
0.2,conformal_risk_filter,0.6612,0.0097
0.2,proposed_branch_mechanism,0.7243,0.0151
0.2,oracle_branch_upper_bound,0.7943,0.0179
0.4,scalar_uncertainty_planner,0.5617,0.0161
0.4,conformal_risk_filter,0.6155,0.0087
0.4,proposed_branch_mechanism,0.6962,0.0118
0.4,oracle_branch_upper_bound,0.7736,0.0169
0.6,scalar_uncertainty_planner,0.5069,0.0140
0.6,conformal_risk_filter,0.5652,0.0074
0.6,proposed_branch_mechanism,0.6657,0.0129
0.6,oracle_branch_upper_bound,0.7505,0.0158
0.8,scalar_uncertainty_planner,0.4486,0.0179
0.8,conformal_risk_filter,0.5250,0.0073
0.8,proposed_branch_mechanism,0.6336,0.0159
0.8,oracle_branch_upper_bound,0.7281,0.0135
1.0,scalar_uncertainty_planner,0.3957,0.0175
1.0,conformal_risk_filter,0.4810,0.0110
1.0,proposed_branch_mechanism,0.6038,0.0181
1.0,oracle_branch_upper_bound,0.7079,0.0108
