split,target,reference,metric,mean_diff,ci95,lower95,target_better_seeds,seeds
combined_micro_shift,skill_half_life_scheduler_v5,bayesian_skill_survival,goal_success,-0.00750,0.01634,-0.02384,4,10
combined_micro_shift,skill_half_life_scheduler_v5,bayesian_skill_survival,late_success,-0.01750,0.02880,-0.04630,3,10
combined_micro_shift,skill_half_life_scheduler_v5,bayesian_skill_survival,unsafe_failure,0.00156,0.00209,-0.00053,2,10
combined_micro_shift,skill_half_life_scheduler_v5,bayesian_skill_survival,stale_execution,0.00000,0.00000,0.00000,0,10
combined_micro_shift,skill_half_life_scheduler_v5,bayesian_skill_survival,total_cost,-0.01343,0.00229,-0.01572,10,10
combined_micro_shift,skill_half_life_scheduler_v5,bayesian_skill_survival,half_life_error,-0.00034,0.00536,-0.00570,3,10
combined_micro_shift,skill_half_life_scheduler_v5,bayesian_skill_survival,calibration_error,0.00169,0.01034,-0.00865,4,10
combined_micro_shift,skill_half_life_scheduler_v5,bayesian_skill_survival,safety_utility,-0.00699,0.01564,-0.02263,5,10
combined_micro_shift,skill_half_life_scheduler_v5,conformal_risk_gate,goal_success,0.02250,0.01742,0.00508,8,10
combined_micro_shift,skill_half_life_scheduler_v5,conformal_risk_gate,late_success,0.02000,0.04916,-0.02916,5,10
combined_micro_shift,skill_half_life_scheduler_v5,conformal_risk_gate,unsafe_failure,-0.00031,0.00322,-0.00353,4,10
combined_micro_shift,skill_half_life_scheduler_v5,conformal_risk_gate,stale_execution,0.00000,0.00000,0.00000,0,10
combined_micro_shift,skill_half_life_scheduler_v5,conformal_risk_gate,total_cost,-0.00014,0.00283,-0.00297,4,10
combined_micro_shift,skill_half_life_scheduler_v5,conformal_risk_gate,half_life_error,0.04959,0.00279,0.04680,0,10
combined_micro_shift,skill_half_life_scheduler_v5,conformal_risk_gate,calibration_error,-0.02465,0.01137,-0.03602,10,10
combined_micro_shift,skill_half_life_scheduler_v5,conformal_risk_gate,safety_utility,0.02280,0.01969,0.00310,8,10
combined_micro_shift,skill_half_life_scheduler_v5,cvar_lifetime_guard,goal_success,-0.01844,0.01465,-0.03309,2,10
combined_micro_shift,skill_half_life_scheduler_v5,cvar_lifetime_guard,late_success,-0.01875,0.03039,-0.04914,4,10
combined_micro_shift,skill_half_life_scheduler_v5,cvar_lifetime_guard,unsafe_failure,0.00281,0.00309,-0.00028,3,10
combined_micro_shift,skill_half_life_scheduler_v5,cvar_lifetime_guard,stale_execution,0.00000,0.00000,0.00000,0,10
combined_micro_shift,skill_half_life_scheduler_v5,cvar_lifetime_guard,total_cost,-0.06592,0.00315,-0.06907,10,10
combined_micro_shift,skill_half_life_scheduler_v5,cvar_lifetime_guard,half_life_error,0.02842,0.00570,0.02272,0,10
combined_micro_shift,skill_half_life_scheduler_v5,cvar_lifetime_guard,calibration_error,0.01966,0.01048,0.00917,2,10
