split,method,metric,mean,ci95,seeds,rows_per_seed
hard_regime_aggregate,bayesian_skill_survival,goal_success,0.82143,0.00351,10,2240
hard_regime_aggregate,bayesian_skill_survival,success_auc,0.82088,0.00354,10,2240
hard_regime_aggregate,bayesian_skill_survival,late_success,0.81661,0.00879,10,2240
hard_regime_aggregate,bayesian_skill_survival,unsafe_failure,0.00210,0.00058,10,2240
hard_regime_aggregate,bayesian_skill_survival,stale_execution,0.00000,0.00000,10,2240
hard_regime_aggregate,bayesian_skill_survival,refresh_rate,0.16817,0.00092,10,2240
hard_regime_aggregate,bayesian_skill_survival,probe_rate,0.57067,0.00248,10,2240
hard_regime_aggregate,bayesian_skill_survival,abstain_rate,0.00000,0.00000,10,2240
hard_regime_aggregate,bayesian_skill_survival,total_cost,1.09730,0.00066,10,2240
hard_regime_aggregate,bayesian_skill_survival,half_life_error,0.11916,0.00143,10,2240
hard_regime_aggregate,bayesian_skill_survival,calibration_error,0.30022,0.00217,10,2240
hard_regime_aggregate,bayesian_skill_survival,risk_upper,0.25775,0.00030,10,2240
hard_regime_aggregate,bayesian_skill_survival,hazard_score,0.15824,0.00027,10,2240
hard_regime_aggregate,bayesian_skill_survival,safety_utility,0.80596,0.00375,10,2240
hard_regime_aggregate,conformal_risk_gate,goal_success,0.79924,0.00701,10,2240
hard_regime_aggregate,conformal_risk_gate,success_auc,0.79929,0.00717,10,2240
hard_regime_aggregate,conformal_risk_gate,late_success,0.78072,0.01470,10,2240
hard_regime_aggregate,conformal_risk_gate,unsafe_failure,0.00344,0.00078,10,2240
hard_regime_aggregate,conformal_risk_gate,stale_execution,0.00000,0.00000,10,2240
hard_regime_aggregate,conformal_risk_gate,refresh_rate,0.14522,0.00073,10,2240
hard_regime_aggregate,conformal_risk_gate,probe_rate,0.52000,0.00331,10,2240
hard_regime_aggregate,conformal_risk_gate,abstain_rate,0.00000,0.00000,10,2240
hard_regime_aggregate,conformal_risk_gate,total_cost,1.08797,0.00067,10,2240
hard_regime_aggregate,conformal_risk_gate,half_life_error,0.06835,0.00103,10,2240
hard_regime_aggregate,conformal_risk_gate,calibration_error,0.32042,0.00392,10,2240
hard_regime_aggregate,conformal_risk_gate,risk_upper,0.27011,0.00036,10,2240
hard_regime_aggregate,conformal_risk_gate,hazard_score,0.15588,0.00036,10,2240
hard_regime_aggregate,conformal_risk_gate,safety_utility,0.78390,0.00703,10,2240
hard_regime_aggregate,cvar_lifetime_guard,goal_success,0.82821,0.00378,10,2240
hard_regime_aggregate,cvar_lifetime_guard,success_auc,0.82784,0.00356,10,2240
hard_regime_aggregate,cvar_lifetime_guard,late_success,0.83286,0.00591,10,2240
hard_regime_aggregate,cvar_lifetime_guard,unsafe_failure,0.00156,0.00044,10,2240
hard_regime_aggregate,cvar_lifetime_guard,stale_execution,0.00000,0.00000,10,2240
hard_regime_aggregate,cvar_lifetime_guard,refresh_rate,0.26714,0.00397,10,2240
hard_regime_aggregate,cvar_lifetime_guard,probe_rate,0.67884,0.00656,10,2240
hard_regime_aggregate,cvar_lifetime_guard,abstain_rate,0.00000,0.00000,10,2240
hard_regime_aggregate,cvar_lifetime_guard,total_cost,1.13247,0.00075,10,2240
hard_regime_aggregate,cvar_lifetime_guard,half_life_error,0.09007,0.00142,10,2240
hard_regime_aggregate,cvar_lifetime_guard,calibration_error,0.29155,0.00237,10,2240
hard_regime_aggregate,cvar_lifetime_guard,risk_upper,0.30908,0.00024,10,2240
hard_regime_aggregate,cvar_lifetime_guard,hazard_score,0.11680,0.00036,10,2240
hard_regime_aggregate,cvar_lifetime_guard,safety_utility,0.80829,0.00367,10,2240
hard_regime_aggregate,domain_randomized_clone,goal_success,0.40947,0.00612,10,2240
hard_regime_aggregate,domain_randomized_clone,success_auc,0.40735,0.00633,10,2240
hard_regime_aggregate,domain_randomized_clone,late_success,0.18839,0.00766,10,2240
hard_regime_aggregate,domain_randomized_clone,unsafe_failure,0.31438,0.00357,10,2240
hard_regime_aggregate,domain_randomized_clone,stale_execution,0.72536,0.00489,10,2240
hard_regime_aggregate,domain_randomized_clone,refresh_rate,0.00000,0.00000,10,2240
hard_regime_aggregate,domain_randomized_clone,probe_rate,0.00000,0.00000,10,2240
hard_regime_aggregate,domain_randomized_clone,abstain_rate,0.00000,0.00000,10,2240
hard_regime_aggregate,domain_randomized_clone,total_cost,1.26722,0.00304,10,2240
hard_regime_aggregate,domain_randomized_clone,half_life_error,0.54492,0.00220,10,2240
hard_regime_aggregate,domain_randomized_clone,calibration_error,0.40907,0.00198,10,2240
hard_regime_aggregate,domain_randomized_clone,risk_upper,0.36760,0.00042,10,2240
hard_regime_aggregate,domain_randomized_clone,hazard_score,0.56628,0.00051,10,2240
hard_regime_aggregate,domain_randomized_clone,safety_utility,-0.15122,0.00888,10,2240
hard_regime_aggregate,ensemble_uncertainty_gate,goal_success,0.80313,0.00321,10,2240
