split,method,seed,goal_success,success_auc,late_success,unsafe_failure,stale_execution,refresh_rate,probe_rate,abstain_rate,total_cost,half_life_error,calibration_error,rows
combined_micro_shift,conformal_risk_gate,4,0.75694,0.75784,0.75000,0.00000,0.00000,0.18056,0.41667,0.00000,1.07611,0.09629,0.34416,288
combined_micro_shift,conformal_risk_gate,5,0.84375,0.84321,0.81944,0.00347,0.00000,0.18403,0.38542,0.00000,1.07778,0.09211,0.28759,288
combined_micro_shift,conformal_risk_gate,6,0.80903,0.81010,0.90278,0.00694,0.00000,0.18056,0.37500,0.00000,1.07910,0.09645,0.30618,288
combined_micro_shift,skill_half_life_scheduler,0,0.81944,0.81882,0.73611,0.00000,0.00000,0.15278,0.52778,0.00000,1.07667,0.17540,0.29491,288
combined_micro_shift,skill_half_life_scheduler,1,0.81944,0.81882,0.80556,0.00000,0.00000,0.15625,0.49653,0.00000,1.07538,0.17336,0.29638,288
combined_micro_shift,skill_half_life_scheduler,2,0.78819,0.78746,0.72222,0.00694,0.00000,0.15278,0.50347,0.00000,1.08087,0.17881,0.31604,288
combined_micro_shift,skill_half_life_scheduler,3,0.79514,0.79617,0.86111,0.00000,0.00000,0.15625,0.51042,0.00000,1.07635,0.17770,0.30951,288
combined_micro_shift,skill_half_life_scheduler,4,0.80208,0.80139,0.87500,0.00000,0.00000,0.15625,0.52083,0.00000,1.07708,0.17868,0.30415,288
combined_micro_shift,skill_half_life_scheduler,5,0.78125,0.78049,0.76389,0.00000,0.00000,0.15278,0.53472,0.00000,1.07715,0.17233,0.31875,288
combined_micro_shift,skill_half_life_scheduler,6,0.79861,0.79791,0.80556,0.00000,0.00000,0.15278,0.52083,0.00000,1.07618,0.17531,0.30603,288
combined_micro_shift,oracle_shift_aware_scheduler,0,0.84375,0.84321,0.83333,0.00000,0.00000,0.19444,0.47917,0.00000,1.08410,0.00000,0.27639,288
combined_micro_shift,oracle_shift_aware_scheduler,1,0.82292,0.82230,0.83333,0.00347,0.00000,0.19444,0.48611,0.00000,1.08753,0.00000,0.28627,288
combined_micro_shift,oracle_shift_aware_scheduler,2,0.86458,0.86585,0.86111,0.00000,0.00000,0.19444,0.47569,0.00000,1.08385,0.00000,0.25587,288
combined_micro_shift,oracle_shift_aware_scheduler,3,0.82986,0.82927,0.75000,0.00000,0.00000,0.19444,0.48958,0.00000,1.08483,0.00000,0.27766,288
combined_micro_shift,oracle_shift_aware_scheduler,4,0.82639,0.82578,0.80556,0.00347,0.00000,0.19444,0.49306,0.00000,1.08802,0.00000,0.28450,288
combined_micro_shift,oracle_shift_aware_scheduler,5,0.79167,0.79094,0.70833,0.00347,0.00000,0.19444,0.49306,0.00000,1.08802,0.00000,0.30315,288
combined_micro_shift,oracle_shift_aware_scheduler,6,0.82639,0.82578,0.79167,0.00000,0.00000,0.19792,0.49653,0.00000,1.08622,0.00000,0.28239,288
compliance_shift,frozen_behavior_clone,0,0.35069,0.35017,0.13889,0.40625,0.75000,0.00000,0.00000,0.00000,1.34531,1.00242,0.40600,288
compliance_shift,frozen_behavior_clone,1,0.34028,0.33972,0.12500,0.37847,0.75000,0.00000,0.00000,0.00000,1.32170,1.00172,0.41976,288
compliance_shift,frozen_behavior_clone,2,0.38194,0.38153,0.20833,0.38889,0.76389,0.00000,0.00000,0.00000,1.33056,1.00057,0.41577,288
compliance_shift,frozen_behavior_clone,3,0.36111,0.36063,0.13889,0.37847,0.75694,0.00000,0.00000,0.00000,1.32170,1.01746,0.41764,288
compliance_shift,frozen_behavior_clone,4,0.35764,0.35714,0.15278,0.37500,0.74653,0.00000,0.00000,0.00000,1.31875,1.00505,0.40862,288
compliance_shift,frozen_behavior_clone,5,0.34028,0.33798,0.13889,0.43056,0.74653,0.00000,0.00000,0.00000,1.36597,0.99574,0.41041,288
compliance_shift,frozen_behavior_clone,6,0.37500,0.37456,0.11111,0.37847,0.74653,0.00000,0.00000,0.00000,1.32170,1.01261,0.41307,288
compliance_shift,domain_randomized_clone,0,0.37153,0.37108,0.09722,0.33333,0.75000,0.00000,0.00000,0.00000,1.28333,0.60890,0.40352,288
compliance_shift,domain_randomized_clone,1,0.38542,0.38676,0.26389,0.32986,0.75000,0.00000,0.00000,0.00000,1.28038,0.60858,0.42105,288
compliance_shift,domain_randomized_clone,2,0.40972,0.40941,0.15278,0.32639,0.76389,0.00000,0.00000,0.00000,1.27743,0.61203,0.39106,288
compliance_shift,domain_randomized_clone,3,0.37847,0.37805,0.19444,0.36458,0.75694,0.00000,0.00000,0.00000,1.30990,0.62162,0.39073,288
compliance_shift,domain_randomized_clone,4,0.36111,0.36063,0.12500,0.33333,0.74653,0.00000,0.00000,0.00000,1.28333,0.60780,0.40226,288
compliance_shift,domain_randomized_clone,5,0.37500,0.37456,0.18056,0.34722,0.74653,0.00000,0.00000,0.00000,1.29514,0.60684,0.39999,288
compliance_shift,domain_randomized_clone,6,0.40972,0.40941,0.18056,0.33333,0.74653,0.00000,0.00000,0.00000,1.28333,0.60831,0.39973,288
compliance_shift,fixed_interval_refresh,0,0.63542,0.63415,0.56944,0.03472,0.20486,0.04167,0.00000,0.00000,1.04035,0.40890,0.41460,288
compliance_shift,fixed_interval_refresh,1,0.67014,0.67073,0.59722,0.03472,0.19792,0.04167,0.00000,0.00000,1.04035,0.40126,0.39827,288
compliance_shift,fixed_interval_refresh,2,0.65625,0.65679,0.58333,0.04167,0.20486,0.04167,0.00000,0.00000,1.04625,0.39443,0.41017,288
compliance_shift,fixed_interval_refresh,3,0.64236,0.64286,0.63889,0.05208,0.21875,0.04167,0.00000,0.00000,1.05510,0.40505,0.40781,288
compliance_shift,fixed_interval_refresh,4,0.70833,0.70906,0.62500,0.03472,0.20486,0.04167,0.00000,0.00000,1.04035,0.40591,0.37984,288
compliance_shift,fixed_interval_refresh,5,0.62847,0.62718,0.59722,0.05208,0.20486,0.04167,0.00000,0.00000,1.05510,0.40934,0.41278,288
compliance_shift,fixed_interval_refresh,6,0.61458,0.61324,0.59722,0.04514,0.21875,0.04167,0.00000,0.00000,1.04920,0.42510,0.42122,288
compliance_shift,online_finetune,0,0.47917,0.47909,0.37500,0.21181,0.65278,0.00000,0.00000,0.00000,1.18003,0.26436,0.43484,288
compliance_shift,online_finetune,1,0.48611,0.48432,0.38889,0.15278,0.61111,0.00347,0.00000,0.00000,1.13076,0.26366,0.43670,288
compliance_shift,online_finetune,2,0.48264,0.48084,0.26389,0.20486,0.64931,0.00347,0.00000,0.00000,1.17503,0.26731,0.40859,288
compliance_shift,online_finetune,3,0.47917,0.47909,0.38889,0.20486,0.59375,0.01042,0.00000,0.00000,1.17684,0.27456,0.42266,288
compliance_shift,online_finetune,4,0.47917,0.47909,0.30556,0.22917,0.64931,0.00000,0.00000,0.00000,1.19479,0.26292,0.42060,288
compliance_shift,online_finetune,5,0.47917,0.47735,0.26389,0.20486,0.61458,0.01042,0.00000,0.00000,1.17684,0.26447,0.41827,288
compliance_shift,online_finetune,6,0.48264,0.48258,0.33333,0.18056,0.62153,0.00694,0.00000,0.00000,1.15528,0.26183,0.41961,288
compliance_shift,scalar_uncertainty_gate,0,0.72569,0.72474,0.76389,0.00694,0.00000,0.09028,0.00000,0.00000,1.02937,0.13135,0.35885,288
compliance_shift,scalar_uncertainty_gate,1,0.73264,0.73345,0.72222,0.01389,0.00000,0.09028,0.00000,0.00000,1.03528,0.12893,0.36345,288
compliance_shift,scalar_uncertainty_gate,2,0.72917,0.72822,0.62500,0.01389,0.00000,0.09028,0.00000,0.00000,1.03528,0.13098,0.35888,288
compliance_shift,scalar_uncertainty_gate,3,0.77083,0.77003,0.75000,0.01042,0.00000,0.09375,0.00000,0.00000,1.03323,0.13753,0.34917,288
compliance_shift,scalar_uncertainty_gate,4,0.72917,0.72822,0.68056,0.00694,0.00000,0.09375,0.00000,0.00000,1.03028,0.12669,0.36315,288
compliance_shift,scalar_uncertainty_gate,5,0.71528,0.71429,0.63889,0.01389,0.00000,0.09028,0.00000,0.00000,1.03528,0.13063,0.37122,288
compliance_shift,scalar_uncertainty_gate,6,0.71528,0.71429,0.69444,0.01389,0.00000,0.09375,0.00000,0.00000,1.03618,0.12987,0.37273,288
compliance_shift,conformal_risk_gate,0,0.80208,0.80139,0.79167,0.00000,0.00000,0.16319,0.37500,0.00000,1.06868,0.08154,0.30942,288
compliance_shift,conformal_risk_gate,1,0.79514,0.79443,0.86111,0.00000,0.00000,0.16667,0.38542,0.00000,1.07031,0.07708,0.31524,288
compliance_shift,conformal_risk_gate,2,0.80208,0.80139,0.83333,0.00347,0.00000,0.16667,0.39236,0.00000,1.07375,0.07897,0.31385,288
compliance_shift,conformal_risk_gate,3,0.81250,0.81185,0.76389,0.01389,0.00000,0.16319,0.40278,0.00000,1.08243,0.08125,0.30599,288
compliance_shift,conformal_risk_gate,4,0.80556,0.80662,0.79167,0.00000,0.00000,0.16667,0.39236,0.00000,1.07080,0.07542,0.30917,288
compliance_shift,conformal_risk_gate,5,0.80208,0.80139,0.93056,0.00347,0.00000,0.16319,0.39236,0.00000,1.07285,0.07967,0.31097,288
compliance_shift,conformal_risk_gate,6,0.75000,0.74913,0.81944,0.00694,0.00000,0.17014,0.36806,0.00000,1.07590,0.07719,0.34080,288
compliance_shift,skill_half_life_scheduler,0,0.80208,0.80314,0.79167,0.00347,0.00000,0.13889,0.47917,0.00000,1.07260,0.18267,0.30018,288
compliance_shift,skill_half_life_scheduler,1,0.78472,0.78571,0.70833,0.00347,0.00000,0.14236,0.49306,0.00000,1.07448,0.18599,0.31884,288
compliance_shift,skill_half_life_scheduler,2,0.84028,0.83972,0.79167,0.00000,0.00000,0.13542,0.52431,0.00000,1.07191,0.19437,0.28020,288
compliance_shift,skill_half_life_scheduler,3,0.80903,0.80836,0.77778,0.00000,0.00000,0.13194,0.53125,0.00000,1.07149,0.19993,0.30012,288
compliance_shift,skill_half_life_scheduler,4,0.80208,0.80139,0.80556,0.00347,0.00000,0.13194,0.52778,0.00000,1.07420,0.18332,0.30451,288
compliance_shift,skill_half_life_scheduler,5,0.82986,0.82927,0.84722,0.01042,0.00000,0.13889,0.49653,0.00000,1.07972,0.19038,0.28350,288
compliance_shift,skill_half_life_scheduler,6,0.81597,0.81533,0.75000,0.00000,0.00000,0.14236,0.50000,0.00000,1.07201,0.17513,0.29270,288
compliance_shift,oracle_shift_aware_scheduler,0,0.79514,0.79443,0.84722,0.00000,0.00000,0.17708,0.47569,0.00000,1.07934,0.00000,0.29767,288
compliance_shift,oracle_shift_aware_scheduler,1,0.85764,0.85889,0.79167,0.00000,0.00000,0.18403,0.47222,0.00000,1.08090,0.00000,0.26453,288
compliance_shift,oracle_shift_aware_scheduler,2,0.77778,0.77875,0.70833,0.00694,0.00000,0.17708,0.49306,0.00000,1.08646,0.00000,0.31412,288
compliance_shift,oracle_shift_aware_scheduler,3,0.82292,0.82230,0.88889,0.00000,0.00000,0.17708,0.49306,0.00000,1.08056,0.00000,0.29142,288
compliance_shift,oracle_shift_aware_scheduler,4,0.85764,0.85714,0.84722,0.00000,0.00000,0.17361,0.49306,0.00000,1.07965,0.00000,0.26396,288
compliance_shift,oracle_shift_aware_scheduler,5,0.83333,0.83275,0.83333,0.00000,0.00000,0.17014,0.48958,0.00000,1.07851,0.00000,0.28005,288
compliance_shift,oracle_shift_aware_scheduler,6,0.81597,0.81533,0.87500,0.00000,0.00000,0.18056,0.47569,0.00000,1.08024,0.00000,0.28499,288
friction_shift,frozen_behavior_clone,0,0.38542,0.38328,0.20833,0.37847,0.75000,0.00000,0.00000,0.00000,1.32170,0.93582,0.43523,288
friction_shift,frozen_behavior_clone,1,0.34028,0.33798,0.18056,0.36458,0.76042,0.00000,0.00000,0.00000,1.30990,0.93399,0.43704,288
friction_shift,frozen_behavior_clone,2,0.36458,0.36411,0.19444,0.37847,0.76389,0.00000,0.00000,0.00000,1.32170,0.93463,0.41767,288
