split,ablation,goal_success,ci95_success,late_success,unsafe_failure,stale_execution,refresh_rate,probe_rate,half_life_error,total_cost,safety_utility
combined_micro_shift,full_skill_half_life_scheduler_v5,0.82062,0.01167,0.82250,0.00219,0.00000,0.15906,0.56938,0.12375,1.09731,0.80508
combined_micro_shift,minus_per_skill_survival,0.81344,0.01782,0.79750,0.00219,0.00000,0.17031,0.56906,0.13403,1.10020,0.79748
combined_micro_shift,minus_probe_updates,0.81000,0.01842,0.80375,0.00406,0.00000,0.18250,0.00000,0.18897,1.05090,0.79930
combined_micro_shift,minus_hazard_margin,0.75094,0.01307,0.69250,0.00781,0.00000,0.09219,0.70750,0.20780,1.09782,0.73037
combined_micro_shift,minus_shift_decomposition,0.80656,0.01293,0.76000,0.00438,0.00000,0.16031,0.56813,0.10556,1.09937,0.78880
combined_micro_shift,minus_uncertainty_calibration,0.80875,0.01862,0.79750,0.00063,0.00000,0.15094,0.57781,0.16801,1.09467,0.79495
combined_micro_shift,minus_skill_age_state,0.79781,0.01184,0.81250,0.00375,0.00000,0.15906,0.56938,0.12375,1.09864,0.78070
combined_micro_shift,fixed_global_half_life,0.73906,0.02209,0.70000,0.00563,0.00937,0.08156,0.69437,0.53469,1.09195,0.71805
combined_micro_shift,threshold_only_risk_gate,0.76906,0.01334,0.73750,0.00531,0.00000,0.10906,0.27844,0.15251,1.05932,0.75608
combined_micro_shift,expected_success_only,0.73281,0.01453,0.71250,0.00875,0.00000,0.10000,0.29250,0.15852,1.06122,0.71654
contact_mode_chatter,full_skill_half_life_scheduler_v5,0.81000,0.01268,0.79375,0.00313,0.00000,0.13750,0.56063,0.10837,1.08606,0.79520
contact_mode_chatter,minus_per_skill_survival,0.82656,0.01018,0.81375,0.00125,0.00000,0.14625,0.56844,0.13889,1.08740,0.81323
contact_mode_chatter,minus_probe_updates,0.80906,0.01043,0.81250,0.00438,0.00000,0.15563,0.00000,0.17928,1.04418,0.79903
contact_mode_chatter,minus_hazard_margin,0.76500,0.01782,0.74500,0.00594,0.00000,0.07906,0.70406,0.18587,1.08545,0.74781
contact_mode_chatter,minus_shift_decomposition,0.81844,0.01353,0.81875,0.00313,0.00000,0.13781,0.56937,0.09280,1.08688,0.80352
contact_mode_chatter,minus_uncertainty_calibration,0.80438,0.01282,0.78750,0.00250,0.00000,0.13218,0.55750,0.14796,1.08388,0.79043
contact_mode_chatter,minus_skill_age_state,0.82875,0.01491,0.80625,0.00282,0.00000,0.13750,0.56063,0.10837,1.08579,0.81427
contact_mode_chatter,fixed_global_half_life,0.76125,0.01550,0.71750,0.00531,0.00469,0.07687,0.69313,0.35339,1.08342,0.74330
contact_mode_chatter,threshold_only_risk_gate,0.76813,0.01656,0.73625,0.00625,0.00000,0.09469,0.27562,0.13104,1.05336,0.75516
contact_mode_chatter,expected_success_only,0.77843,0.00798,0.76375,0.00812,0.00000,0.08688,0.28656,0.13921,1.05385,0.76375
