split,risk_budget,target,reference,metric,mean_diff,ci95,lower95,seeds
combined_micro_shift,0.02,skill_half_life_scheduler_v5,conformal_risk_gate,coverage,0.00000,0.00000,0.00000,10
combined_micro_shift,0.02,skill_half_life_scheduler_v5,conformal_risk_gate,fixed_risk_success,0.00000,0.00000,0.00000,10
combined_micro_shift,0.02,skill_half_life_scheduler_v5,conformal_risk_gate,executed_success,0.00000,0.00000,0.00000,10
combined_micro_shift,0.02,skill_half_life_scheduler_v5,conformal_risk_gate,false_safe_rate,0.00000,0.00000,0.00000,10
combined_micro_shift,0.02,skill_half_life_scheduler_v5,ensemble_uncertainty_gate,coverage,0.00000,0.00000,0.00000,10
combined_micro_shift,0.02,skill_half_life_scheduler_v5,ensemble_uncertainty_gate,fixed_risk_success,0.00000,0.00000,0.00000,10
combined_micro_shift,0.02,skill_half_life_scheduler_v5,ensemble_uncertainty_gate,executed_success,0.00000,0.00000,0.00000,10
combined_micro_shift,0.02,skill_half_life_scheduler_v5,ensemble_uncertainty_gate,false_safe_rate,0.00000,0.00000,0.00000,10
combined_micro_shift,0.02,skill_half_life_scheduler_v5,bayesian_skill_survival,coverage,0.00000,0.00000,0.00000,10
combined_micro_shift,0.02,skill_half_life_scheduler_v5,bayesian_skill_survival,fixed_risk_success,0.00000,0.00000,0.00000,10
combined_micro_shift,0.02,skill_half_life_scheduler_v5,bayesian_skill_survival,executed_success,0.00000,0.00000,0.00000,10
combined_micro_shift,0.02,skill_half_life_scheduler_v5,bayesian_skill_survival,false_safe_rate,0.00000,0.00000,0.00000,10
combined_micro_shift,0.02,skill_half_life_scheduler_v5,cvar_lifetime_guard,coverage,0.00000,0.00000,0.00000,10
combined_micro_shift,0.02,skill_half_life_scheduler_v5,cvar_lifetime_guard,fixed_risk_success,0.00000,0.00000,0.00000,10
combined_micro_shift,0.02,skill_half_life_scheduler_v5,cvar_lifetime_guard,executed_success,0.00000,0.00000,0.00000,10
combined_micro_shift,0.02,skill_half_life_scheduler_v5,cvar_lifetime_guard,false_safe_rate,0.00000,0.00000,0.00000,10
combined_micro_shift,0.02,skill_half_life_scheduler_v5,oracle_shift_aware_scheduler,coverage,0.00000,0.00000,0.00000,10
combined_micro_shift,0.02,skill_half_life_scheduler_v5,oracle_shift_aware_scheduler,fixed_risk_success,0.00000,0.00000,0.00000,10
combined_micro_shift,0.02,skill_half_life_scheduler_v5,oracle_shift_aware_scheduler,executed_success,0.00000,0.00000,0.00000,10
combined_micro_shift,0.02,skill_half_life_scheduler_v5,oracle_shift_aware_scheduler,false_safe_rate,0.00000,0.00000,0.00000,10
combined_micro_shift,0.05,skill_half_life_scheduler_v5,conformal_risk_gate,coverage,0.00000,0.00000,0.00000,10
combined_micro_shift,0.05,skill_half_life_scheduler_v5,conformal_risk_gate,fixed_risk_success,0.00000,0.00000,0.00000,10
combined_micro_shift,0.05,skill_half_life_scheduler_v5,conformal_risk_gate,executed_success,0.00000,0.00000,0.00000,10
combined_micro_shift,0.05,skill_half_life_scheduler_v5,conformal_risk_gate,false_safe_rate,0.00000,0.00000,0.00000,10
combined_micro_shift,0.05,skill_half_life_scheduler_v5,ensemble_uncertainty_gate,coverage,0.00000,0.00000,0.00000,10
combined_micro_shift,0.05,skill_half_life_scheduler_v5,ensemble_uncertainty_gate,fixed_risk_success,0.00000,0.00000,0.00000,10
combined_micro_shift,0.05,skill_half_life_scheduler_v5,ensemble_uncertainty_gate,executed_success,0.00000,0.00000,0.00000,10
