split,risk_budget,method,coverage,ci95_coverage,fixed_risk_success,ci95_fixed_risk_success,executed_success,false_safe_rate,unsafe_failure,stale_execution,total_cost,rows
combined_micro_shift,0.10,ensemble_uncertainty_gate,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
combined_micro_shift,0.10,bayesian_skill_survival,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
combined_micro_shift,0.10,cvar_lifetime_guard,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
combined_micro_shift,0.10,skill_half_life_scheduler_v5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
combined_micro_shift,0.10,oracle_shift_aware_scheduler,0.08300,0.00531,0.07100,0.00457,0.85726,0.00000,0.00000,0.00000,1.00519,12000
combined_micro_shift,0.20,conformal_risk_gate,0.05300,0.00299,0.04600,0.00244,0.87040,0.00000,0.00000,0.00000,1.00000,12000
combined_micro_shift,0.20,ensemble_uncertainty_gate,0.08800,0.00588,0.07350,0.00621,0.83788,0.00000,0.00000,0.00000,1.00531,12000
combined_micro_shift,0.20,bayesian_skill_survival,0.06300,0.00392,0.05350,0.00548,0.85156,0.00000,0.00000,0.00000,1.00450,12000
combined_micro_shift,0.20,cvar_lifetime_guard,0.00050,0.00098,0.00050,0.00098,0.10000,0.00000,0.00000,0.00000,0.10000,12000
combined_micro_shift,0.20,skill_half_life_scheduler_v5,0.07800,0.00443,0.06550,0.00593,0.84152,0.00000,0.00000,0.00000,1.00238,12000
combined_micro_shift,0.20,oracle_shift_aware_scheduler,0.38250,0.02536,0.32600,0.02551,0.85110,0.00251,0.00251,0.00000,1.07833,12000
contact_mode_chatter,0.02,conformal_risk_gate,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
contact_mode_chatter,0.02,ensemble_uncertainty_gate,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
contact_mode_chatter,0.02,bayesian_skill_survival,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
contact_mode_chatter,0.02,cvar_lifetime_guard,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
contact_mode_chatter,0.02,skill_half_life_scheduler_v5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
contact_mode_chatter,0.02,oracle_shift_aware_scheduler,0.00050,0.00098,0.00050,0.00098,0.10000,0.00000,0.00000,0.00000,0.10000,12000
contact_mode_chatter,0.05,conformal_risk_gate,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
contact_mode_chatter,0.05,ensemble_uncertainty_gate,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
contact_mode_chatter,0.05,bayesian_skill_survival,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
contact_mode_chatter,0.05,cvar_lifetime_guard,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
contact_mode_chatter,0.05,skill_half_life_scheduler_v5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
contact_mode_chatter,0.05,oracle_shift_aware_scheduler,0.03450,0.00494,0.03150,0.00414,0.91794,0.00000,0.00000,0.00000,1.00000,12000
contact_mode_chatter,0.10,conformal_risk_gate,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
contact_mode_chatter,0.10,ensemble_uncertainty_gate,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
contact_mode_chatter,0.10,bayesian_skill_survival,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
contact_mode_chatter,0.10,cvar_lifetime_guard,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
contact_mode_chatter,0.10,skill_half_life_scheduler_v5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
contact_mode_chatter,0.10,oracle_shift_aware_scheduler,0.10600,0.00616,0.09500,0.00716,0.89576,0.00000,0.00000,0.00000,1.00908,12000
contact_mode_chatter,0.20,conformal_risk_gate,0.07200,0.00623,0.06200,0.00704,0.86123,0.00000,0.00000,0.00000,1.00057,12000
contact_mode_chatter,0.20,ensemble_uncertainty_gate,0.10950,0.00515,0.09450,0.00661,0.86222,0.00000,0.00000,0.00000,1.00914,12000
contact_mode_chatter,0.20,bayesian_skill_survival,0.08000,0.00527,0.07050,0.00555,0.88271,0.00000,0.00000,0.00000,1.00549,12000
contact_mode_chatter,0.20,cvar_lifetime_guard,0.00100,0.00131,0.00100,0.00131,0.20000,0.00000,0.00000,0.00000,0.20000,12000
contact_mode_chatter,0.20,skill_half_life_scheduler_v5,0.09950,0.00593,0.08400,0.00682,0.84439,0.00000,0.00000,0.00000,1.00575,12000
contact_mode_chatter,0.20,oracle_shift_aware_scheduler,0.54750,0.05666,0.46100,0.04455,0.84474,0.00000,0.00000,0.00000,1.07443,12000
