split,risk_budget,method,coverage,ci95_coverage,fixed_risk_success,ci95_fixed_risk_success,executed_success,false_safe_rate,unsafe_failure,stale_execution,total_cost,rows
combined_micro_shift,0.02,conformal_risk_gate,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
combined_micro_shift,0.02,ensemble_uncertainty_gate,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
combined_micro_shift,0.02,bayesian_skill_survival,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
combined_micro_shift,0.02,cvar_lifetime_guard,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
combined_micro_shift,0.02,skill_half_life_scheduler_v5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
combined_micro_shift,0.02,oracle_shift_aware_scheduler,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
combined_micro_shift,0.05,conformal_risk_gate,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
combined_micro_shift,0.05,ensemble_uncertainty_gate,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
combined_micro_shift,0.05,bayesian_skill_survival,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
combined_micro_shift,0.05,cvar_lifetime_guard,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
combined_micro_shift,0.05,skill_half_life_scheduler_v5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
combined_micro_shift,0.05,oracle_shift_aware_scheduler,0.02700,0.00392,0.02500,0.00387,0.92976,0.00000,0.00000,0.00000,1.00000,12000
combined_micro_shift,0.10,conformal_risk_gate,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12000
