split,method,seed,rows,goal_success,success_auc,late_success,unsafe_failure,stale_execution,refresh_rate,probe_rate,abstain_rate,total_cost,half_life_error,calibration_error,risk_upper,hazard_score,safety_utility
hard_regime_aggregate,bayesian_skill_survival,0,2240,0.82232,0.82177,0.82143,0.00223,0.00000,0.16786,0.56920,0.00000,1.09727,0.12042,0.29847,0.25810,0.15806,0.80674
hard_regime_aggregate,bayesian_skill_survival,1,2240,0.81741,0.81746,0.81071,0.00179,0.00000,0.17188,0.57277,0.00000,1.09827,0.12159,0.30270,0.25756,0.15768,0.80208
hard_regime_aggregate,bayesian_skill_survival,2,2240,0.82500,0.82381,0.82857,0.00357,0.00000,0.16786,0.57455,0.00000,1.09877,0.12047,0.29733,0.25795,0.15800,0.80803
hard_regime_aggregate,bayesian_skill_survival,3,2240,0.82545,0.82540,0.82857,0.00089,0.00000,0.16741,0.57143,0.00000,1.09610,0.12140,0.29787,0.25799,0.15804,0.81121
hard_regime_aggregate,bayesian_skill_survival,4,2240,0.81295,0.81224,0.78929,0.00179,0.00000,0.16920,0.56607,0.00000,1.09692,0.11935,0.30697,0.25750,0.15788,0.79781
hard_regime_aggregate,bayesian_skill_survival,5,2240,0.81831,0.81859,0.80000,0.00179,0.00000,0.16786,0.56295,0.00000,1.09615,0.12069,0.30073,0.25728,0.15857,0.80327
hard_regime_aggregate,bayesian_skill_survival,6,2240,0.82545,0.82449,0.82143,0.00268,0.00000,0.16652,0.57500,0.00000,1.09775,0.11682,0.29770,0.25716,0.15873,0.80940
hard_regime_aggregate,bayesian_skill_survival,7,2240,0.81295,0.81156,0.80714,0.00357,0.00000,0.16786,0.57187,0.00000,1.09875,0.11921,0.30490,0.25861,0.15912,0.79598
hard_regime_aggregate,bayesian_skill_survival,8,2240,0.82545,0.82540,0.83036,0.00179,0.00000,0.16696,0.57455,0.00000,1.09709,0.11450,0.29841,0.25721,0.15807,0.81028
hard_regime_aggregate,bayesian_skill_survival,9,2240,0.82902,0.82812,0.82857,0.00089,0.00000,0.16830,0.56830,0.00000,1.09597,0.11714,0.29714,0.25816,0.15828,0.81480
hard_regime_aggregate,conformal_risk_gate,0,2240,0.80982,0.80952,0.81071,0.00357,0.00000,0.14554,0.51518,0.00000,1.08761,0.06654,0.31422,0.27056,0.15590,0.79441
hard_regime_aggregate,conformal_risk_gate,1,2240,0.80937,0.80952,0.79643,0.00402,0.00000,0.14286,0.52902,0.00000,1.08885,0.07018,0.31632,0.27064,0.15678,0.79340
hard_regime_aggregate,conformal_risk_gate,2,2240,0.81473,0.81451,0.80893,0.00268,0.00000,0.14509,0.52098,0.00000,1.08732,0.07109,0.31159,0.27083,0.15670,0.80015
hard_regime_aggregate,conformal_risk_gate,3,2240,0.80670,0.80680,0.80179,0.00223,0.00000,0.14732,0.51562,0.00000,1.08710,0.07002,0.31532,0.26994,0.15485,0.79254
hard_regime_aggregate,conformal_risk_gate,4,2240,0.78973,0.78957,0.78750,0.00179,0.00000,0.14464,0.52232,0.00000,1.08677,0.06844,0.32635,0.27000,0.15580,0.77601
