split,method,seed,rows,goal_success,success_auc,late_success,unsafe_failure,stale_execution,refresh_rate,probe_rate,abstain_rate,total_cost,half_life_error,calibration_error,risk_upper,hazard_score,safety_utility
hard_regime_aggregate,conformal_risk_gate,5,2240,0.78482,0.78435,0.75179,0.00491,0.00000,0.14554,0.52187,0.00000,1.08932,0.06604,0.33027,0.26932,0.15558,0.76800
hard_regime_aggregate,conformal_risk_gate,6,2240,0.80179,0.80295,0.76786,0.00491,0.00000,0.14420,0.51384,0.00000,1.08821,0.06677,0.31898,0.26909,0.15552,0.78511
hard_regime_aggregate,conformal_risk_gate,7,2240,0.80045,0.80181,0.76429,0.00357,0.00000,0.14554,0.52768,0.00000,1.08882,0.06811,0.31967,0.27041,0.15563,0.78487
hard_regime_aggregate,conformal_risk_gate,8,2240,0.78214,0.78118,0.77321,0.00179,0.00000,0.14554,0.51518,0.00000,1.08634,0.06803,0.32789,0.26984,0.15624,0.76848
hard_regime_aggregate,conformal_risk_gate,9,2240,0.79286,0.79274,0.74464,0.00491,0.00000,0.14598,0.51830,0.00000,1.08934,0.06825,0.32356,0.27046,0.15579,0.77603
hard_regime_aggregate,cvar_lifetime_guard,0,2240,0.83348,0.83220,0.83393,0.00268,0.00000,0.27321,0.67545,0.00000,1.13485,0.08783,0.28803,0.30931,0.11639,0.81225
hard_regime_aggregate,cvar_lifetime_guard,1,2240,0.82411,0.82358,0.81964,0.00045,0.00000,0.27187,0.66563,0.00000,1.13153,0.09149,0.29339,0.30898,0.11643,0.80530
hard_regime_aggregate,cvar_lifetime_guard,2,2240,0.82679,0.82540,0.82321,0.00223,0.00000,0.27187,0.66830,0.00000,1.13339,0.09185,0.29217,0.30925,0.11652,0.80615
hard_regime_aggregate,cvar_lifetime_guard,3,2240,0.83839,0.83809,0.83571,0.00179,0.00000,0.27232,0.67098,0.00000,1.13306,0.09427,0.28535,0.30901,0.11600,0.81819
hard_regime_aggregate,cvar_lifetime_guard,4,2240,0.82946,0.82925,0.84286,0.00134,0.00000,0.26473,0.68170,0.00000,1.13186,0.08968,0.29098,0.30920,0.11720,0.80982
hard_regime_aggregate,cvar_lifetime_guard,5,2240,0.82054,0.82086,0.83214,0.00179,0.00000,0.25670,0.69509,0.00000,1.13134,0.09012,0.29671,0.30902,0.11797,0.80058
hard_regime_aggregate,cvar_lifetime_guard,6,2240,0.81919,0.82018,0.83571,0.00134,0.00000,0.25670,0.69465,0.00000,1.13101,0.08770,0.29747,0.30841,0.11715,0.79968
hard_regime_aggregate,cvar_lifetime_guard,7,2240,0.83259,0.83220,0.83750,0.00045,0.00000,0.26563,0.68348,0.00000,1.13161,0.08909,0.28843,0.30938,0.11657,0.81377
hard_regime_aggregate,cvar_lifetime_guard,8,2240,0.82544,0.82517,0.81964,0.00179,0.00000,0.26563,0.68348,0.00000,1.13275,0.08694,0.29312,0.30850,0.11655,0.80529
hard_regime_aggregate,cvar_lifetime_guard,9,2240,0.83214,0.83152,0.84821,0.00179,0.00000,0.27277,0.66964,0.00000,1.13331,0.09174,0.28984,0.30970,0.11727,0.81191
hard_regime_aggregate,domain_randomized_clone,0,2240,0.41339,0.41111,0.17500,0.32054,0.71696,0.00000,0.00000,0.00000,1.27245,0.54433,0.40326,0.36779,0.56578,-0.15059
hard_regime_aggregate,domain_randomized_clone,1,2240,0.42098,0.41950,0.18929,0.31652,0.71384,0.00000,0.00000,0.00000,1.26904,0.54312,0.40851,0.36755,0.56600,-0.13792
hard_regime_aggregate,domain_randomized_clone,2,2240,0.40089,0.39796,0.20893,0.31116,0.71875,0.00000,0.00000,0.00000,1.26448,0.54158,0.41019,0.36827,0.56700,-0.15433
hard_regime_aggregate,domain_randomized_clone,3,2240,0.41027,0.40907,0.18750,0.32188,0.72411,0.00000,0.00000,0.00000,1.27359,0.54030,0.40750,0.36853,0.56747,-0.15748
hard_regime_aggregate,domain_randomized_clone,4,2240,0.41964,0.41769,0.20536,0.31161,0.72723,0.00000,0.00000,0.00000,1.26486,0.54615,0.41129,0.36796,0.56716,-0.13891
hard_regime_aggregate,domain_randomized_clone,5,2240,0.40313,0.40068,0.19286,0.31607,0.73214,0.00000,0.00000,0.00000,1.26866,0.54173,0.40899,0.36729,0.56695,-0.16156
hard_regime_aggregate,domain_randomized_clone,6,2240,0.40089,0.39977,0.16964,0.31161,0.73661,0.00000,0.00000,0.00000,1.26487,0.54769,0.40732,0.36650,0.56576,-0.16085
hard_regime_aggregate,domain_randomized_clone,7,2240,0.39152,0.38821,0.18571,0.32098,0.73527,0.00000,0.00000,0.00000,1.27283,0.55083,0.41583,0.36791,0.56607,-0.17914
hard_regime_aggregate,domain_randomized_clone,8,2240,0.41831,0.41565,0.19107,0.30893,0.72857,0.00000,0.00000,0.00000,1.26259,0.54960,0.40831,0.36646,0.56489,-0.13803
hard_regime_aggregate,domain_randomized_clone,9,2240,0.41563,0.41383,0.17857,0.30446,0.72009,0.00000,0.00000,0.00000,1.25879,0.54382,0.40949,0.36771,0.56571,-0.13337
hard_regime_aggregate,ensemble_uncertainty_gate,0,2240,0.79107,0.79002,0.78750,0.00446,0.00000,0.14152,0.54955,0.00000,1.09054,0.08053,0.32278,0.24270,0.15922,0.77447
hard_regime_aggregate,ensemble_uncertainty_gate,1,2240,0.80402,0.80317,0.81071,0.00134,0.00000,0.14286,0.55000,0.00000,1.08813,0.07824,0.31474,0.24209,0.15869,0.79050
hard_regime_aggregate,ensemble_uncertainty_gate,2,2240,0.80402,0.80340,0.79286,0.00357,0.00000,0.14375,0.54197,0.00000,1.08959,0.08122,0.31346,0.24210,0.15827,0.78833
hard_regime_aggregate,ensemble_uncertainty_gate,3,2240,0.80714,0.80612,0.78214,0.00223,0.00000,0.14330,0.54063,0.00000,1.08837,0.08218,0.31309,0.24201,0.15804,0.79281
hard_regime_aggregate,ensemble_uncertainty_gate,4,2240,0.80045,0.79977,0.77679,0.00179,0.00000,0.14241,0.55536,0.00000,1.08884,0.08082,0.31768,0.24209,0.15901,0.78644
hard_regime_aggregate,ensemble_uncertainty_gate,5,2240,0.80402,0.80249,0.80179,0.00313,0.00000,0.14420,0.54866,0.00000,1.08992,0.08025,0.31530,0.24123,0.15841,0.78868
hard_regime_aggregate,ensemble_uncertainty_gate,6,2240,0.80313,0.80249,0.78393,0.00223,0.00000,0.14063,0.55045,0.00000,1.08843,0.08128,0.31436,0.24135,0.15907,0.78878
hard_regime_aggregate,ensemble_uncertainty_gate,7,2240,0.81116,0.81043,0.82857,0.00268,0.00000,0.14196,0.55357,0.00000,1.08946,0.08275,0.31091,0.24218,0.15819,0.79628
hard_regime_aggregate,ensemble_uncertainty_gate,8,2240,0.80134,0.80136,0.80179,0.00223,0.00000,0.14330,0.54598,0.00000,1.08879,0.07904,0.31706,0.24121,0.15800,0.78694
hard_regime_aggregate,ensemble_uncertainty_gate,9,2240,0.80491,0.80544,0.77500,0.00268,0.00000,0.14375,0.54554,0.00000,1.08914,0.07655,0.31476,0.24201,0.15791,0.79007
hard_regime_aggregate,fixed_interval_refresh,0,2240,0.67188,0.67052,0.60000,0.03840,0.14330,0.04688,0.00000,0.00000,1.04482,0.34531,0.39775,0.23255,0.27081,0.58309
hard_regime_aggregate,fixed_interval_refresh,1,2240,0.67277,0.67234,0.60893,0.03304,0.15178,0.04688,0.00000,0.00000,1.04027,0.35463,0.39925,0.23220,0.27081,0.58645
hard_regime_aggregate,fixed_interval_refresh,2,2240,0.65848,0.65782,0.61071,0.03036,0.15402,0.04688,0.00000,0.00000,1.03799,0.35853,0.40212,0.23242,0.27081,0.57408
hard_regime_aggregate,fixed_interval_refresh,3,2240,0.66250,0.66054,0.63393,0.03705,0.15670,0.04688,0.00000,0.00000,1.04368,0.35624,0.40072,0.23245,0.27081,0.57050
hard_regime_aggregate,fixed_interval_refresh,4,2240,0.66384,0.66281,0.64286,0.03170,0.15223,0.04688,0.00000,0.00000,1.03913,0.35215,0.40262,0.23204,0.27081,0.57871
hard_regime_aggregate,fixed_interval_refresh,5,2240,0.66786,0.66531,0.60536,0.03705,0.14955,0.04688,0.00000,0.00000,1.04368,0.33825,0.39868,0.23147,0.27081,0.57829
hard_regime_aggregate,fixed_interval_refresh,6,2240,0.64643,0.64558,0.60536,0.03661,0.14643,0.04688,0.00000,0.00000,1.04330,0.33282,0.40806,0.23127,0.27081,0.55837
hard_regime_aggregate,fixed_interval_refresh,7,2240,0.67455,0.67256,0.63929,0.02991,0.14732,0.04688,0.00000,0.00000,1.03761,0.33582,0.39441,0.23254,0.27081,0.59288
hard_regime_aggregate,fixed_interval_refresh,8,2240,0.65000,0.64920,0.58750,0.04866,0.14553,0.04688,0.00000,0.00000,1.05355,0.33542,0.40493,0.23166,0.27081,0.55020
hard_regime_aggregate,fixed_interval_refresh,9,2240,0.66161,0.65964,0.61250,0.03482,0.14732,0.04688,0.00000,0.00000,1.04178,0.34611,0.40172,0.23250,0.27081,0.57502
hard_regime_aggregate,frozen_behavior_clone,0,2240,0.36205,0.36009,0.13393,0.37768,0.71696,0.00000,0.00000,0.00000,1.32103,0.86548,0.42365,0.30827,0.51286,-0.25901
hard_regime_aggregate,frozen_behavior_clone,1,2240,0.35937,0.35669,0.18036,0.37188,0.71384,0.00000,0.00000,0.00000,1.31609,0.86240,0.42552,0.30803,0.51306,-0.25483
hard_regime_aggregate,frozen_behavior_clone,2,2240,0.37545,0.37234,0.14286,0.37545,0.71875,0.00000,0.00000,0.00000,1.31913,0.86137,0.41978,0.30831,0.51314,-0.24400
hard_regime_aggregate,frozen_behavior_clone,3,2240,0.36116,0.35760,0.17500,0.38884,0.72411,0.00000,0.00000,0.00000,1.33051,0.86327,0.42847,0.30805,0.51258,-0.27349
hard_regime_aggregate,frozen_behavior_clone,4,2240,0.37098,0.36780,0.16964,0.37321,0.72723,0.00000,0.00000,0.00000,1.31723,0.86353,0.42108,0.30773,0.51276,-0.24912
hard_regime_aggregate,frozen_behavior_clone,5,2240,0.34241,0.33968,0.13393,0.37455,0.73214,0.00000,0.00000,0.00000,1.31837,0.85315,0.42377,0.30731,0.51307,-0.28070
hard_regime_aggregate,frozen_behavior_clone,6,2240,0.35580,0.35442,0.13571,0.36562,0.73661,0.00000,0.00000,0.00000,1.31078,0.85550,0.42688,0.30716,0.51315,-0.25990
hard_regime_aggregate,frozen_behavior_clone,7,2240,0.36339,0.36054,0.18214,0.36875,0.73527,0.00000,0.00000,0.00000,1.31344,0.86491,0.42920,0.30850,0.51335,-0.25498
hard_regime_aggregate,frozen_behavior_clone,8,2240,0.37991,0.37732,0.13929,0.36295,0.72857,0.00000,0.00000,0.00000,1.30850,0.86351,0.42032,0.30734,0.51275,-0.23039
hard_regime_aggregate,frozen_behavior_clone,9,2240,0.37768,0.37415,0.13571,0.36116,0.72009,0.00000,0.00000,0.00000,1.30699,0.86191,0.41817,0.30848,0.51335,-0.22795
hard_regime_aggregate,hazard_regression_refresh,0,2240,0.78705,0.78571,0.77143,0.00447,0.00000,0.12143,0.03973,0.00000,1.03893,0.18087,0.31857,0.22957,0.16262,0.77768
hard_regime_aggregate,hazard_regression_refresh,1,2240,0.79777,0.79592,0.78393,0.00447,0.00000,0.12009,0.03750,0.00000,1.03844,0.18883,0.31468,0.22883,0.16185,0.78846
hard_regime_aggregate,hazard_regression_refresh,2,2240,0.79152,0.79138,0.79464,0.00536,0.00000,0.12098,0.03706,0.00000,1.03957,0.18443,0.31781,0.22962,0.16296,0.78126
hard_regime_aggregate,hazard_regression_refresh,3,2240,0.77768,0.77732,0.73036,0.00581,0.00000,0.12009,0.04107,0.00000,1.04020,0.18401,0.32607,0.23020,0.16410,0.76695
hard_regime_aggregate,hazard_regression_refresh,4,2240,0.79241,0.79206,0.78393,0.00580,0.00000,0.12009,0.03884,0.00000,1.03972,0.19038,0.31758,0.22891,0.16230,0.78174
hard_regime_aggregate,hazard_regression_refresh,5,2240,0.78170,0.77959,0.80000,0.00803,0.00000,0.12277,0.03482,0.00000,1.04215,0.18185,0.32267,0.22847,0.16259,0.76873
hard_regime_aggregate,hazard_regression_refresh,6,2240,0.78036,0.77982,0.77143,0.00402,0.00000,0.12277,0.02991,0.00000,1.03797,0.18567,0.32580,0.22791,0.16187,0.77150
hard_regime_aggregate,hazard_regression_refresh,7,2240,0.77545,0.77506,0.79286,0.00714,0.00000,0.12098,0.04420,0.00000,1.04155,0.18565,0.32706,0.22980,0.16311,0.76334
hard_regime_aggregate,hazard_regression_refresh,8,2240,0.78170,0.78118,0.75179,0.00402,0.00000,0.12054,0.03839,0.00000,1.03845,0.19498,0.32402,0.22841,0.16207,0.77278
hard_regime_aggregate,hazard_regression_refresh,9,2240,0.78884,0.78753,0.78929,0.00357,0.00000,0.12009,0.03973,0.00000,1.03784,0.18215,0.32059,0.23009,0.16375,0.78040
hard_regime_aggregate,online_finetune,0,2240,0.55134,0.54921,0.46607,0.13795,0.49107,0.01205,0.08125,0.00000,1.12773,0.24857,0.42387,0.30455,0.43342,0.24510
hard_regime_aggregate,online_finetune,1,2240,0.55223,0.54943,0.47321,0.12813,0.47411,0.01339,0.08973,0.00000,1.12071,0.24837,0.42448,0.30086,0.42665,0.26138
hard_regime_aggregate,online_finetune,2,2240,0.53750,0.53651,0.37679,0.14821,0.50134,0.01161,0.08438,0.00000,1.13699,0.24747,0.41986,0.30802,0.44053,0.21744
hard_regime_aggregate,online_finetune,3,2240,0.54062,0.53741,0.40536,0.15268,0.52232,0.01027,0.08438,0.00000,1.14036,0.24658,0.41977,0.31136,0.44717,0.20903
hard_regime_aggregate,online_finetune,4,2240,0.54018,0.53900,0.42321,0.13348,0.52187,0.01027,0.08393,0.00000,1.12407,0.25085,0.42432,0.30672,0.43871,0.22791
hard_regime_aggregate,online_finetune,5,2240,0.51786,0.51633,0.40357,0.13482,0.52991,0.01116,0.07054,0.00000,1.12405,0.24758,0.42994,0.30681,0.43992,0.20168
hard_regime_aggregate,online_finetune,6,2240,0.54063,0.53832,0.40000,0.14062,0.52411,0.00982,0.07366,0.00000,1.12860,0.25286,0.42814,0.30681,0.44042,0.22067
hard_regime_aggregate,online_finetune,7,2240,0.53571,0.53379,0.38036,0.13973,0.52009,0.01027,0.09241,0.00000,1.12987,0.25333,0.42763,0.30961,0.44346,0.21774
hard_regime_aggregate,online_finetune,8,2240,0.54107,0.53900,0.39464,0.15000,0.52902,0.00893,0.08661,0.00000,1.13824,0.25375,0.42537,0.31340,0.45283,0.20985
hard_regime_aggregate,online_finetune,9,2240,0.55179,0.55079,0.43750,0.13304,0.48259,0.01295,0.07902,0.00000,1.12350,0.24803,0.42063,0.30306,0.43052,0.25334
hard_regime_aggregate,oracle_shift_aware_scheduler,0,2240,0.82723,0.82743,0.81964,0.00179,0.00000,0.16384,0.54152,0.00000,1.09323,0.00000,0.28273,0.15425,0.14536,0.81261
hard_regime_aggregate,oracle_shift_aware_scheduler,1,2240,0.82946,0.82925,0.81964,0.00223,0.00000,0.16295,0.53705,0.00000,1.09289,0.00000,0.28272,0.15442,0.14596,0.81450
hard_regime_aggregate,oracle_shift_aware_scheduler,2,2240,0.83571,0.83447,0.84464,0.00134,0.00000,0.16518,0.53572,0.00000,1.09272,0.00000,0.27843,0.15451,0.14629,0.82156
hard_regime_aggregate,oracle_shift_aware_scheduler,3,2240,0.84687,0.84580,0.86250,0.00179,0.00000,0.16339,0.54152,0.00000,1.09309,0.00000,0.27224,0.15399,0.14571,0.83227
hard_regime_aggregate,oracle_shift_aware_scheduler,4,2240,0.84241,0.84240,0.84286,0.00134,0.00000,0.16473,0.53527,0.00000,1.09248,0.00000,0.27541,0.15423,0.14574,0.82828
hard_regime_aggregate,oracle_shift_aware_scheduler,5,2240,0.84286,0.84127,0.82679,0.00179,0.00000,0.16250,0.53661,0.00000,1.09250,0.00000,0.27374,0.15337,0.14596,0.82833
hard_regime_aggregate,oracle_shift_aware_scheduler,6,2240,0.82947,0.82902,0.80893,0.00179,0.00000,0.15982,0.55000,0.00000,1.09297,0.00000,0.28357,0.15367,0.14600,0.81488
hard_regime_aggregate,oracle_shift_aware_scheduler,7,2240,0.83259,0.83084,0.85000,0.00179,0.00000,0.16428,0.54196,0.00000,1.09322,0.00000,0.27964,0.15508,0.14637,0.81797
hard_regime_aggregate,oracle_shift_aware_scheduler,8,2240,0.83839,0.83787,0.84821,0.00134,0.00000,0.16161,0.54688,0.00000,1.09293,0.00000,0.27709,0.15427,0.14615,0.82420
hard_regime_aggregate,oracle_shift_aware_scheduler,9,2240,0.83438,0.83492,0.81786,0.00089,0.00000,0.16518,0.53884,0.00000,1.09235,0.00000,0.27976,0.15437,0.14574,0.82066
hard_regime_aggregate,scalar_uncertainty_gate,0,2240,0.74286,0.74263,0.75714,0.00625,0.00000,0.09911,0.38348,0.00000,1.06560,0.12000,0.35822,0.22398,0.20112,0.72817
hard_regime_aggregate,scalar_uncertainty_gate,1,2240,0.75937,0.75805,0.73214,0.00848,0.00000,0.09687,0.38527,0.00000,1.06709,0.12285,0.35260,0.22294,0.19975,0.74252
hard_regime_aggregate,scalar_uncertainty_gate,2,2240,0.76384,0.76168,0.73750,0.00937,0.00000,0.09687,0.38348,0.00000,1.06799,0.12366,0.34568,0.22332,0.20006,0.74607
hard_regime_aggregate,scalar_uncertainty_gate,3,2240,0.75580,0.75578,0.74821,0.00848,0.00000,0.09509,0.37456,0.00000,1.06576,0.12278,0.35039,0.22301,0.19939,0.73913
hard_regime_aggregate,scalar_uncertainty_gate,4,2240,0.76339,0.76191,0.75714,0.00759,0.00000,0.09509,0.38170,0.00000,1.06594,0.12373,0.34876,0.22289,0.19996,0.74748
hard_regime_aggregate,scalar_uncertainty_gate,5,2240,0.75848,0.75624,0.71429,0.00402,0.00000,0.09375,0.38571,0.00000,1.06242,0.11918,0.35172,0.22246,0.20024,0.74621
hard_regime_aggregate,scalar_uncertainty_gate,6,2240,0.76518,0.76463,0.72857,0.00803,0.00000,0.09553,0.38482,0.00000,1.06670,0.12221,0.34649,0.22232,0.20036,0.74877
hard_regime_aggregate,scalar_uncertainty_gate,7,2240,0.75536,0.75419,0.76429,0.00580,0.00000,0.09777,0.38482,0.00000,1.06524,0.12301,0.35134,0.22337,0.19993,0.74112
hard_regime_aggregate,scalar_uncertainty_gate,8,2240,0.76339,0.76236,0.73393,0.00848,0.00000,0.09732,0.38348,0.00000,1.06737,0.12178,0.34777,0.22310,0.20114,0.74650
hard_regime_aggregate,scalar_uncertainty_gate,9,2240,0.75803,0.75601,0.76429,0.00848,0.00000,0.09866,0.37723,0.00000,1.06705,0.11970,0.35104,0.22352,0.20028,0.74119
hard_regime_aggregate,skill_half_life_scheduler_v5,0,2240,0.82455,0.82358,0.80179,0.00491,0.00000,0.13259,0.56384,0.00000,1.08981,0.12662,0.29480,0.24929,0.15227,0.80766
hard_regime_aggregate,skill_half_life_scheduler_v5,1,2240,0.81071,0.81134,0.80179,0.00223,0.00000,0.13437,0.56295,0.00000,1.08801,0.13100,0.30201,0.24910,0.15261,0.79643
hard_regime_aggregate,skill_half_life_scheduler_v5,2,2240,0.81875,0.81724,0.81071,0.00223,0.00000,0.13437,0.56116,0.00000,1.08750,0.12788,0.29820,0.24974,0.15344,0.80454
hard_regime_aggregate,skill_half_life_scheduler_v5,3,2240,0.81518,0.81429,0.82143,0.00357,0.00000,0.13482,0.55625,0.00000,1.08858,0.12973,0.30053,0.24960,0.15314,0.79963
hard_regime_aggregate,skill_half_life_scheduler_v5,4,2240,0.81563,0.81474,0.80893,0.00447,0.00000,0.13214,0.56786,0.00000,1.08978,0.13213,0.29838,0.24919,0.15314,0.79913
hard_regime_aggregate,skill_half_life_scheduler_v5,5,2240,0.81027,0.80884,0.79107,0.00179,0.00000,0.13036,0.57456,0.00000,1.08748,0.13142,0.30155,0.24815,0.15241,0.79645
hard_regime_aggregate,skill_half_life_scheduler_v5,6,2240,0.81652,0.81565,0.79643,0.00223,0.00000,0.13214,0.56205,0.00000,1.08710,0.13251,0.29929,0.24844,0.15330,0.80236
hard_regime_aggregate,skill_half_life_scheduler_v5,7,2240,0.82455,0.82426,0.82500,0.00134,0.00000,0.13170,0.57009,0.00000,1.08695,0.13276,0.29430,0.24970,0.15311,0.81120
hard_regime_aggregate,skill_half_life_scheduler_v5,8,2240,0.81027,0.80952,0.80179,0.00357,0.00000,0.13348,0.56161,0.00000,1.08876,0.12961,0.30284,0.24905,0.15367,0.79470
hard_regime_aggregate,skill_half_life_scheduler_v5,9,2240,0.81741,0.81588,0.81607,0.00179,0.00000,0.13527,0.55223,0.00000,1.08661,0.12638,0.29759,0.24937,0.15253,0.80371
