split,target,reference,metric,mean_diff,ci95,lower95,target_better_seeds,seeds
hard_regime_aggregate,skill_half_life_scheduler_v5,bayesian_skill_survival,goal_success,-0.00505,0.00502,-0.01007,3,10
hard_regime_aggregate,skill_half_life_scheduler_v5,bayesian_skill_survival,late_success,-0.00911,0.01010,-0.01920,2,10
hard_regime_aggregate,skill_half_life_scheduler_v5,bayesian_skill_survival,unsafe_failure,0.00071,0.00109,-0.00037,3,10
hard_regime_aggregate,skill_half_life_scheduler_v5,bayesian_skill_survival,stale_execution,0.00000,0.00000,0.00000,0,10
hard_regime_aggregate,skill_half_life_scheduler_v5,bayesian_skill_survival,total_cost,-0.00925,0.00104,-0.01029,10,10
hard_regime_aggregate,skill_half_life_scheduler_v5,bayesian_skill_survival,half_life_error,0.01085,0.00204,0.00881,0,10
hard_regime_aggregate,skill_half_life_scheduler_v5,bayesian_skill_survival,calibration_error,-0.00127,0.00303,-0.00430,4,10
hard_regime_aggregate,skill_half_life_scheduler_v5,bayesian_skill_survival,safety_utility,-0.00438,0.00540,-0.00978,3,10
hard_regime_aggregate,skill_half_life_scheduler_v5,conformal_risk_gate,goal_success,0.01714,0.00612,0.01102,10,10
hard_regime_aggregate,skill_half_life_scheduler_v5,conformal_risk_gate,late_success,0.02679,0.01566,0.01113,9,10
hard_regime_aggregate,skill_half_life_scheduler_v5,conformal_risk_gate,unsafe_failure,-0.00063,0.00139,-0.00201,6,10
hard_regime_aggregate,skill_half_life_scheduler_v5,conformal_risk_gate,stale_execution,0.00000,0.00000,0.00000,0,10
hard_regime_aggregate,skill_half_life_scheduler_v5,conformal_risk_gate,total_cost,0.00009,0.00128,-0.00119,5,10
hard_regime_aggregate,skill_half_life_scheduler_v5,conformal_risk_gate,half_life_error,0.06166,0.00192,0.05973,0,10
hard_regime_aggregate,skill_half_life_scheduler_v5,conformal_risk_gate,calibration_error,-0.02147,0.00365,-0.02512,10,10
hard_regime_aggregate,skill_half_life_scheduler_v5,conformal_risk_gate,safety_utility,0.01768,0.00625,0.01143,10,10
hard_regime_aggregate,skill_half_life_scheduler_v5,cvar_lifetime_guard,goal_success,-0.01183,0.00345,-0.01528,0,10
