split,method,seed,goal_success,success_auc,late_success,unsafe_failure,stale_execution,refresh_rate,probe_rate,abstain_rate,total_cost,half_life_error,calibration_error,risk_upper,hazard_score,safety_utility,rows,stress_axis,stress_level
combined_micro_shift,domain_randomized_clone,0,0.53750,0.53548,0.27500,0.20000,0.55625,0.00000,0.00000,0.00000,1.17000,0.64406,0.41097,0.29889,0.38995,0.14857,160,drift_rate,0.00
combined_micro_shift,domain_randomized_clone,1,0.56250,0.56129,0.27500,0.19375,0.55625,0.00000,0.00000,0.00000,1.16469,0.62964,0.41231,0.29667,0.39037,0.17982,160,drift_rate,0.00
combined_micro_shift,domain_randomized_clone,2,0.50625,0.50645,0.32500,0.13125,0.56875,0.00000,0.00000,0.00000,1.11156,0.62648,0.44603,0.30004,0.39196,0.18176,160,drift_rate,0.00
combined_micro_shift,domain_randomized_clone,3,0.51250,0.51613,0.25000,0.18125,0.57500,0.00000,0.00000,0.00000,1.15406,0.64151,0.42617,0.30071,0.39187,0.13593,160,drift_rate,0.00
combined_micro_shift,domain_randomized_clone,4,0.55000,0.54516,0.37500,0.16875,0.58750,0.00000,0.00000,0.00000,1.14344,0.63796,0.44341,0.29905,0.39035,0.18167,160,drift_rate,0.00
combined_micro_shift,domain_randomized_clone,5,0.46875,0.45806,0.20000,0.20625,0.58750,0.00000,0.00000,0.00000,1.17531,0.64249,0.44068,0.30086,0.39079,0.06296,160,drift_rate,0.00
combined_micro_shift,domain_randomized_clone,6,0.56875,0.56774,0.37500,0.13125,0.58125,0.00000,0.00000,0.00000,1.11156,0.64942,0.42856,0.29622,0.38816,0.24001,160,drift_rate,0.00
combined_micro_shift,domain_randomized_clone,7,0.57500,0.57742,0.30000,0.16250,0.56875,0.00000,0.00000,0.00000,1.13813,0.64544,0.42539,0.30206,0.39047,0.21929,160,drift_rate,0.00
combined_micro_shift,domain_randomized_clone,8,0.58125,0.58387,0.30000,0.15625,0.55625,0.00000,0.00000,0.00000,1.13281,0.64812,0.40536,0.30040,0.38948,0.23603,160,drift_rate,0.00
combined_micro_shift,domain_randomized_clone,9,0.50625,0.50645,0.20000,0.19375,0.55625,0.00000,0.00000,0.00000,1.16469,0.64223,0.42509,0.29572,0.38836,0.12357,160,drift_rate,0.00
combined_micro_shift,conformal_risk_gate,0,0.84375,0.84194,0.87500,0.00000,0.00000,0.16875,0.49375,0.00000,1.09078,0.07764,0.29400,0.29223,0.15528,0.83104,160,drift_rate,0.00
combined_micro_shift,conformal_risk_gate,1,0.80625,0.80323,0.85000,0.00000,0.00000,0.16875,0.49375,0.00000,1.09078,0.07776,0.31118,0.28737,0.15038,0.79354,160,drift_rate,0.00
