split,skill,seed,step,method,goal_success,unsafe_failure,stale_execution,refresh,probe,abstain,coverage,false_safe,total_cost,predicted_success,calibration_abs_error,true_success_probability,risk_upper,hazard_score,estimated_half_life,true_half_life,half_life_abs_relative_error,shift_norm,observed_norm,mode_signal,exec_age,failure_label,risk_budget
combined_micro_shift,pick_place,0,24,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.43537,0.43537,0.40722,0.51892,0.62884,16.78472,15.32584,0.09519,0.40744,0.34516,0.06651,24.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,25,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.36253,0.36253,0.37537,0.60076,0.71781,13.69680,14.39209,0.04831,0.46148,0.54331,0.08795,25.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,26,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.39216,0.39216,0.35191,0.55567,0.68391,15.64750,13.84295,0.13036,0.49667,0.41724,0.04976,26.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,27,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.37728,0.37728,0.34510,0.56180,0.70326,15.40458,13.99573,0.10066,0.48660,0.44993,0.00000,27.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,28,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.34210,0.34210,0.32190,0.60474,0.74657,14.13902,13.41949,0.05362,0.52577,0.52145,0.05021,28.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,29,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.35647,0.35647,0.30549,0.58077,0.73076,15.31932,13.11579,0.16801,0.54780,0.44387,0.03341,29.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,30,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.30571,0.30571,0.28661,0.63810,0.79222,13.23397,12.68822,0.04301,0.58060,0.60110,0.03402,30.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,31,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.28364,0.28364,0.27054,0.66193,0.81921,12.56282,12.35636,0.01671,0.60762,0.66314,0.03331,31.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,32,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.30942,0.30942,0.26493,0.61996,0.79047,14.19209,12.44242,0.14062,0.60047,0.53482,0.00000,32.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,33,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.26103,0.26103,0.24299,0.68347,0.84775,12.15254,11.81645,0.02844,0.65482,0.70349,0.03556,33.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,34,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.26533,0.26533,0.23840,0.66854,0.84417,12.67723,11.90378,0.06498,0.64690,0.66370,0.00000,34.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,35,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.25902,0.25902,0.21911,0.67286,0.85258,12.67218,11.33921,0.11755,0.70029,0.66418,0.00000,35.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,36,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.19001,0.19001,0.14781,0.80230,0.92803,9.48231,9.63708,0.01606,0.85790,1.00476,0.18948,36.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,37,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.25766,0.25766,0.20190,0.66650,0.85638,13.21596,11.06296,0.19461,0.72840,0.61448,0.00000,37.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,38,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.18474,0.18474,0.12403,0.82128,0.93558,9.60473,8.94946,0.07322,0.95288,0.93250,0.33846,38.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,39,conformal_risk_gate,0,0,0,0,0,1,0,0,1.48000,0.20826,0.20826,0.19491,0.74011,0.91318,11.06120,11.18391,0.01097,0.71593,0.81966,0.05889,39.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,0,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.91953,0.91953,0.91460,0.12522,0.00000,19.41453,21.04502,0.07748,0.18107,0.12777,0.01372,0.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,1,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.89169,0.89169,0.89326,0.15421,0.03505,19.42912,21.76192,0.10720,0.16109,0.16129,0.04475,1.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,2,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.86811,0.86811,0.86762,0.17744,0.06501,20.62311,20.65687,0.00163,0.19247,0.18334,0.06880,2.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,3,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.83878,0.83878,0.84503,0.20481,0.10179,19.36988,20.56110,0.05794,0.19535,0.23529,0.06936,3.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,4,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.81913,0.81913,0.82112,0.20907,0.12805,20.23433,20.15584,0.00389,0.20783,0.25713,0.00000,4.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,5,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.78008,0.78008,0.80726,0.24037,0.17839,17.63791,21.29487,0.17173,0.17395,0.29205,0.00000,5.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,6,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.79605,0.79605,0.77874,0.20991,0.16260,23.43688,20.08283,0.16701,0.21013,0.15722,0.00000,6.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,7,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.77196,0.77196,0.75492,0.22457,0.19490,22.38144,19.64261,0.13943,0.22438,0.14713,0.00000,7.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,8,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.75023,0.75023,0.72872,0.24006,0.22391,21.87545,18.98484,0.15226,0.24690,0.13520,0.01525,8.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,9,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.66237,0.66237,0.72234,0.35170,0.33184,15.47093,20.25693,0.23626,0.20467,0.27311,0.20164,9.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,10,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.69330,0.69330,0.70201,0.29773,0.29460,19.86154,20.03982,0.00890,0.21150,0.24654,0.03361,10.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,11,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.64686,0.64686,0.67837,0.33663,0.35294,17.51509,19.51319,0.10240,0.22869,0.33965,0.00000,11.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,12,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.63490,0.63490,0.65274,0.33572,0.37121,17.92792,18.85563,0.04920,0.25151,0.27864,0.00000,12.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,13,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.64785,0.64785,0.63039,0.33589,0.35249,20.73257,18.47433,0.12224,0.26548,0.30754,0.02646,13.00000,abstained_fixed_risk,0.02
combined_micro_shift,pick_place,0,14,ensemble_uncertainty_gate,0,0,0,0,0,1,0,0,1.48000,0.58701,0.58701,0.61241,0.37623,0.43294,17.10586,18.38841,0.06975,0.26871,0.31405,0.01844,14.00000,abstained_fixed_risk,0.02
